,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32
101,0.5389745831489563,0.3354299068450928,0.5436550378799438,0.3231419622898102,0.5463415384292603,0.32328930497169495,0.548508882522583,0.32361310720443726,0.5353241562843323,0.3234878480434418,0.5318665504455566,0.3239559233188629,0.5286614298820496,0.324663907289505,0.5521374940872192,0.33215224742889404,0.5235404372215271,0.33248981833457947,0.5428779125213623,0.35072943568229675,0.5324732661247253,0.3522283136844635,0.5759103298187256,0.4254826307296753,0.4971204400062561,0.4186181426048279,0.5806190967559814,0.533348798751831,0.4865099787712097,0.5326630473136902,0.5813445448875427,0.6314867734909058,0.4789939224720001,0.6248771548271179,0.5819730758666992,0.6622177362442017,0.4768611788749695,0.6550387740135193,0.577925980091095,0.661831796169281,0.48240745067596436,0.6534003019332886,0.5763472318649292,0.6519014239311218,0.4851018786430359,0.6447831988334656,0.5518307089805603,0.6274418830871582,0.5063093900680542,0.618718147277832,0.5405970215797424,0.7774387001991272,0.49555322527885437,0.7655988335609436,0.5296188592910767,0.9006789922714233,0.4784777760505676,0.8826739192008972,0.5263916254043579,0.9132295250892639,0.4811660647392273,0.8979406356811523,0.527923583984375,0.9586237072944641,0.4666234850883484,0.9282163977622986
102,0.5398613214492798,0.3353841304779053,0.5443346500396729,0.32309970259666443,0.5471323132514954,0.32326775789260864,0.5492030382156372,0.3235797882080078,0.5359590649604797,0.32334885001182556,0.5326150059700012,0.3237808048725128,0.529301643371582,0.32441627979278564,0.5525432825088501,0.33208927512168884,0.5241513848304749,0.3322107195854187,0.5435911417007446,0.35071277618408203,0.5332618355751038,0.35214221477508545,0.5765306353569031,0.42559900879859924,0.4975331127643585,0.4185997247695923,0.5811192989349365,0.5331370234489441,0.4871264100074768,0.53255695104599,0.582035481929779,0.6301917433738708,0.47914230823516846,0.6249831914901733,0.582643449306488,0.6618087291717529,0.4769425690174103,0.6551811695098877,0.5783226490020752,0.6611984968185425,0.4823746383190155,0.653628945350647,0.576715886592865,0.6513786911964417,0.485166072845459,0.6449617147445679,0.5527322888374329,0.6273031830787659,0.5069286823272705,0.6179407238960266,0.5417144298553467,0.776996374130249,0.4904899001121521,0.7592300176620483,0.5298952460289001,0.9012787938117981,0.4671492576599121,0.8753166198730469,0.5263558030128479,0.9155635237693787,0.46972766518592834,0.8905981779098511,0.527977705001831,0.9595909118652344,0.44905519485473633,0.9174112677574158
103,0.5401372313499451,0.33503565192222595,0.5443827509880066,0.32284846901893616,0.5472890138626099,0.32303255796432495,0.5494506359100342,0.32334625720977783,0.535983681678772,0.32304084300994873,0.5327446460723877,0.3234698176383972,0.5293042063713074,0.32407230138778687,0.5526934266090393,0.3317594826221466,0.524506688117981,0.3319956064224243,0.5439392328262329,0.3504292368888855,0.5335894227027893,0.3518238961696625,0.5773374438285828,0.42560189962387085,0.4980396032333374,0.41869956254959106,0.582032322883606,0.5330954194068909,0.48799389600753784,0.5325635671615601,0.5828236937522888,0.6301715970039368,0.47990062832832336,0.6249991655349731,0.5832078456878662,0.6618028283119202,0.4775635004043579,0.6552764177322388,0.5789771676063538,0.6612097024917603,0.48270368576049805,0.6539362668991089,0.5774626135826111,0.6515186429023743,0.4856724143028259,0.6452521681785583,0.5531798005104065,0.6272520422935486,0.5073458552360535,0.6170580983161926,0.5423091650009155,0.7762609124183655,0.48504626750946045,0.7523608803749084,0.5300416350364685,0.9033031463623047,0.4535081684589386,0.8703304529190063,0.5264492630958557,0.9193961024284363,0.4568141996860504,0.8877768516540527,0.5279806852340698,0.9598007798194885,0.4330267906188965,0.9094870686531067
104,0.5402280688285828,0.3349609971046448,0.5442970395088196,0.32280510663986206,0.547259509563446,0.3229634463787079,0.5496013164520264,0.32327672839164734,0.5359512567520142,0.3230232894420624,0.5327580571174622,0.32346218824386597,0.5291818976402283,0.32406553626060486,0.5528643727302551,0.3315979242324829,0.5246214866638184,0.331985205411911,0.544040322303772,0.350396066904068,0.5336982011795044,0.3518105149269104,0.5778713822364807,0.425361305475235,0.4987845718860626,0.4187180697917938,0.5822795629501343,0.5326366424560547,0.4889138638973236,0.5323902368545532,0.5845475792884827,0.6285797953605652,0.4808143079280853,0.6238616704940796,0.5851104855537415,0.6607220768928528,0.4781060516834259,0.6544010639190674,0.5802145004272461,0.6602712869644165,0.4830896258354187,0.6530734300613403,0.5785629153251648,0.6509653925895691,0.48613661527633667,0.6445276737213135,0.5537969470024109,0.6270548701286316,0.507732629776001,0.6164546608924866,0.54262775182724,0.7759448885917664,0.4795038402080536,0.7497565746307373,0.5299793481826782,0.9042032957077026,0.4443516731262207,0.8684895038604736,0.5263720154762268,0.9208921194076538,0.44514286518096924,0.8882705569267273,0.5279748439788818,0.9598749279975891,0.4193599820137024,0.9060707092285156
105,0.5401947498321533,0.3349304795265198,0.544162929058075,0.3227843940258026,0.5470078587532043,0.32291194796562195,0.5495380759239197,0.323224812746048,0.5359048843383789,0.3230186700820923,0.5326715707778931,0.3234596848487854,0.5290803909301758,0.32406356930732727,0.55265873670578,0.3313903212547302,0.5246344804763794,0.3319578766822815,0.5439934134483337,0.3503867983818054,0.5337288975715637,0.3518112599849701,0.578112781047821,0.4252490699291229,0.4990893304347992,0.4187457263469696,0.5827364325523376,0.5326303839683533,0.48956361413002014,0.5324723720550537,0.5857798457145691,0.6285108923912048,0.48111119866371155,0.623637318611145,0.5866479277610779,0.6607028245925903,0.4782322347164154,0.6542556881904602,0.5817598104476929,0.6602552533149719,0.48307502269744873,0.6529438495635986,0.5800586342811584,0.6509943008422852,0.48607298731803894,0.644345223903656,0.5540481805801392,0.6268165111541748,0.5078043937683105,0.6160918474197388,0.542346715927124,0.7759543657302856,0.4755416214466095,0.7502762675285339,0.5298625826835632,0.9056713581085205,0.43818485736846924,0.869800329208374,0.5263136625289917,0.9230085611343384,0.4386690557003021,0.8909879326820374,0.5280201435089111,0.9599841237068176,0.4107760488986969,0.9045676589012146
106,0.5401331782341003,0.3348888158798218,0.5441104173660278,0.32274824380874634,0.5468320250511169,0.32284286618232727,0.5494977235794067,0.32315129041671753,0.5358278155326843,0.3230011761188507,0.5324931740760803,0.3234366476535797,0.5289419889450073,0.3240433931350708,0.5525329113006592,0.3311697542667389,0.5245726704597473,0.33193323016166687,0.5440046191215515,0.3503837585449219,0.5337273478507996,0.35181644558906555,0.5783863067626953,0.42505672574043274,0.49922844767570496,0.4187583029270172,0.5834669470787048,0.5324330925941467,0.48973697423934937,0.5324081778526306,0.5880463123321533,0.6281237602233887,0.48110201954841614,0.6234375834465027,0.5885990858078003,0.6605790257453918,0.47805920243263245,0.6540489196777344,0.5840011835098267,0.6601029634475708,0.48295411467552185,0.6527161002159119,0.5823851823806763,0.6509058475494385,0.48592251539230347,0.6441080570220947,0.5542846322059631,0.6267932653427124,0.5078542232513428,0.6157757043838501,0.5421473979949951,0.7770431637763977,0.47405847907066345,0.751840353012085,0.5295792818069458,0.9071903228759766,0.4378803074359894,0.8725941777229309,0.5261169075965881,0.9243300557136536,0.4384690523147583,0.8924987316131592,0.5279248356819153,0.9601420164108276,0.4150029122829437,0.9100611209869385
107,0.540219247341156,0.33485299348831177,0.5441922545433044,0.3227102756500244,0.5467845797538757,0.32278135418891907,0.5495283007621765,0.3230859637260437,0.5358924865722656,0.32297322154045105,0.5324388146400452,0.32339709997177124,0.5289074182510376,0.3240094780921936,0.5525267720222473,0.331023633480072,0.5245034098625183,0.3318462669849396,0.5441299080848694,0.3503805994987488,0.533808708190918,0.35182467103004456,0.5784361362457275,0.4248039424419403,0.4994586706161499,0.4187530279159546,0.5836443305015564,0.5317872762680054,0.4895809292793274,0.5320612788200378,0.5891382694244385,0.6270489692687988,0.4809151291847229,0.6229962706565857,0.5897569060325623,0.6598457098007202,0.47779637575149536,0.652882993221283,0.5852903127670288,0.659257173538208,0.48254698514938354,0.6515641212463379,0.5836827754974365,0.6502681970596313,0.48553553223609924,0.6431843638420105,0.55433189868927,0.6266977787017822,0.5078920125961304,0.6155296564102173,0.5419975519180298,0.7769616842269897,0.4771776497364044,0.7526741027832031,0.5292161703109741,0.9085312485694885,0.4437187910079956,0.876220166683197,0.5260352492332458,0.9255265593528748,0.4444584250450134,0.897998034954071,0.5278646349906921,0.9603919386863708,0.42158520221710205,0.9139118194580078
108,0.5401554703712463,0.3348384201526642,0.5442469120025635,0.3226839005947113,0.546721875667572,0.32275527715682983,0.5495204329490662,0.3230641186237335,0.5358712077140808,0.3229229748249054,0.5323115587234497,0.32332876324653625,0.5288503766059875,0.32395970821380615,0.5525855422019958,0.3309856355190277,0.5244219303131104,0.3317943513393402,0.5441882610321045,0.35039374232292175,0.5337556004524231,0.35188159346580505,0.5785537362098694,0.4249952435493469,0.4993748664855957,0.41876739263534546,0.5838191509246826,0.5317811369895935,0.4892999827861786,0.5319434404373169,0.5894262194633484,0.6263062953948975,0.47998160123825073,0.6226511597633362,0.5901299715042114,0.6595112085342407,0.47663143277168274,0.6526490449905396,0.5860997438430786,0.6589435935020447,0.4813317656517029,0.6513930559158325,0.5845087170600891,0.6499693989753723,0.48404186964035034,0.6430239081382751,0.5541387796401978,0.6266947984695435,0.507814347743988,0.6155041456222534,0.5417001843452454,0.7769530415534973,0.4784093499183655,0.7531631588935852,0.5286808609962463,0.9087815880775452,0.4500535726547241,0.8939778804779053,0.525814414024353,0.9252945184707642,0.45156869292259216,0.9163224101066589,0.5274739861488342,0.9604029655456543,0.42795976996421814,0.9317751526832581
109,0.5399503707885742,0.3347903788089752,0.5441661477088928,0.3226022720336914,0.5465812087059021,0.32270514965057373,0.5493580102920532,0.32301369309425354,0.5356928706169128,0.32272598147392273,0.5321494340896606,0.32308468222618103,0.5287352800369263,0.3237043619155884,0.552627444267273,0.330939382314682,0.5243886709213257,0.3316616415977478,0.5441203713417053,0.35039570927619934,0.5335840582847595,0.35188183188438416,0.578533947467804,0.42499884963035583,0.49946245551109314,0.41876140236854553,0.5841085910797119,0.5318042635917664,0.48861315846443176,0.531849205493927,0.5892046689987183,0.6261056065559387,0.47880375385284424,0.6225355863571167,0.5899919271469116,0.6594539880752563,0.47543612122535706,0.6526191830635071,0.5862368941307068,0.658876895904541,0.4800935685634613,0.6514021158218384,0.5845873355865479,0.6498954892158508,0.48251616954803467,0.6430291533470154,0.5540105700492859,0.6263731718063354,0.5077475309371948,0.6151168346405029,0.5415991544723511,0.7769362926483154,0.4815050959587097,0.7566016316413879,0.5285255908966064,0.9089657068252563,0.45877519249916077,0.9039471745491028,0.5255399942398071,0.9250087141990662,0.4620095491409302,0.9235391020774841,0.5275015234947205,0.9606311917304993,0.44381535053253174,0.9464491009712219
110,0.5398399233818054,0.3347497284412384,0.544082760810852,0.3224947154521942,0.5464758276939392,0.32265716791152954,0.5492334365844727,0.3229757249355316,0.5355846881866455,0.32247135043144226,0.5320732593536377,0.32282766699790955,0.5286370515823364,0.32344213128089905,0.5526716113090515,0.3309180438518524,0.5243222713470459,0.3314949870109558,0.5440267324447632,0.35040584206581116,0.5334598422050476,0.35188084840774536,0.5783972144126892,0.4249182641506195,0.49941572546958923,0.418728768825531,0.5839114785194397,0.5315761566162109,0.4877353608608246,0.5318471789360046,0.5886538028717041,0.6260229349136353,0.47787681221961975,0.6220970749855042,0.5895208716392517,0.6590451002120972,0.4748609662055969,0.6522560715675354,0.585550844669342,0.6583933234214783,0.47935035824775696,0.6511399149894714,0.5839340686798096,0.6495349407196045,0.48152175545692444,0.6428232192993164,0.5539715886116028,0.6258318424224854,0.5076924562454224,0.6147220134735107,0.541064977645874,0.7764939665794373,0.48781824111938477,0.7606242895126343,0.5283375978469849,0.9090299606323242,0.472801148891449,0.9070010781288147,0.5252429842948914,0.9249902963638306,0.47607892751693726,0.923999011516571,0.5275110006332397,0.9606369733810425,0.46369725465774536,0.9550150632858276
